,city,date,fare,ride_id,driver_count,type
0,Lake Jonathanshire,2019-01-14 10:14,13.83,5740000000000.0,5,Urban
1,Lake Jonathanshire,2019-04-07 20:51,31.25,4440000000000.0,5,Urban
2,Lake Jonathanshire,2019-03-09 23:45,19.89,2390000000000.0,5,Urban
3,Lake Jonathanshire,2019-04-07 18:09,24.28,7800000000000.0,5,Urban
4,Lake Jonathanshire,2019-01-02 14:14,13.89,424000000000.0,5,Urban
5,Lake Jonathanshire,2019-04-06 11:30,16.84,6160000000000.0,5,Urban
6,Lake Jonathanshire,2019-03-21 0:18,37.95,8350000000000.0,5,Urban
7,Lake Jonathanshire,2019-01-28 0:07,5.67,9760000000000.0,5,Urban
8,Lake Jonathanshire,2019-01-24 12:24,34.65,3320000000000.0,5,Urban
9,Lake Jonathanshire,2019-03-24 16:27,14.94,1670000000000.0,5,Urban
10,Lake Jonathanshire,2019-04-11 22:10,12.81,6000000000000.0,5,Urban
11,Lake Jonathanshire,2019-01-23 21:43,21.11,7710000000000.0,5,Urban
12,Lake Jonathanshire,2019-01-29 0:19,41.05,6650000000000.0,5,Urban
13,Lake Jonathanshire,2019-03-22 14:33,18.72,4680000000000.0,5,Urban
14,Lake Jonathanshire,2019-04-16 20:26,32.47,1010000000000.0,5,Urban
15,Lake Jonathanshire,2019-04-11 19:49,25.92,8530000000000.0,5,Urban
16,Lake Jonathanshire,2019-04-09 21:41,15.96,577000000000.0,5,Urban
17,Lake Jonathanshire,2019-01-16 9:27,26.27,3270000000000.0,5,Urban
18,Lake Jonathanshire,2019-01-21 12:12,37.25,2970000000000.0,5,Urban
19,Lake Jonathanshire,2019-04-11 21:32,22.48,3510000000000.0,5,Urban
20,Lake Jonathanshire,2019-02-16 1:49,17.58,3640000000000.0,5,Urban
21,Lake Jonathanshire,2019-01-17 13:15,28.42,6540000000000.0,5,Urban
22,Lake Jonathanshire,2019-01-21 9:48,22.36,2520000000000.0,5,Urban
23,Lake Jonathanshire,2019-02-23 6:10,26.63,5370000000000.0,5,Urban
24,South Michelleport,2019-03-04 18:24,30.24,2340000000000.0,72,Urban
25,South Michelleport,2019-03-02 9:54,33.12,814000000000.0,72,Urban
26,South Michelleport,2019-01-08 9:38,23.77,4920000000000.0,72,Urban
27,South Michelleport,2019-04-22 3:15,43.62,4660000000000.0,72,Urban
28,South Michelleport,2019-03-03 16:13,41.62,2340000000000.0,72,Urban
29,South Michelleport,2019-01-27 19:38,15.45,7470000000000.0,72,Urban
30,South Michelleport,2019-04-14 1:20,37.93,1530000000000.0,72,Urban
31,South Michelleport,2019-02-22 7:44,22.52,8520000000000.0,72,Urban
32,South Michelleport,2019-02-12 7:41,27.7,5580000000000.0,72,Urban
33,South Michelleport,2019-01-29 20:40,9.79,5530000000000.0,72,Urban
34,South Michelleport,2019-01-09 1:48,10.68,3240000000000.0,72,Urban
35,South Michelleport,2019-03-13 4:21,10.44,5680000000000.0,72,Urban
36,South Michelleport,2019-04-21 18:31,21.98,5890000000000.0,72,Urban
37,South Michelleport,2019-03-08 4:18,27.42,3750000000000.0,72,Urban
38,South Michelleport,2019-05-07 12:25,4.47,289000000000.0,72,Urban
39,South Michelleport,2019-02-06 17:29,25.58,6810000000000.0,72,Urban
40,South Michelleport,2019-03-23 16:45,14.72,491000000000.0,72,Urban
41,South Michelleport,2019-03-01 22:01,24.55,9790000000000.0,72,Urban
42,South Michelleport,2019-04-01 14:50,28.84,8850000000000.0,72,Urban
43,South Michelleport,2019-04-22 2:38,9.72,2090000000000.0,72,Urban
44,South Michelleport,2019-01-02 0:56,37.34,7660000000000.0,72,Urban
45,South Michelleport,2019-01-20 5:30,34.72,6390000000000.0,72,Urban
46,South Michelleport,2019-01-27 13:10,30.16,3950000000000.0,72,Urban
47,South Michelleport,2019-03-29 8:33,11.06,9980000000000.0,72,Urban
48,South Michelleport,2019-02-11 8:12,28.03,3130000000000.0,72,Urban
49,South Michelleport,2019-02-02 11:56,12.77,1410000000000.0,72,Urban
50,South Michelleport,2019-03-12 9:06,25.1,7110000000000.0,72,Urban
51,South Michelleport,2019-04-21 15:29,36.47,3390000000000.0,72,Urban
52,South Michelleport,2019-01-05 5:57,39.9,6110000000000.0,72,Urban
53,South Michelleport,2019-02-27 2:00,10.4,6480000000000.0,72,Urban
54,South Michelleport,2019-04-27 11:18,27.89,355000000000.0,72,Urban
55,Port Samanthamouth,2019-02-24 4:29,33.44,2010000000000.0,57,Urban
56,Port Samanthamouth,2019-04-16 18:34,9.2,8710000000000.0,57,Urban
57,Port Samanthamouth,2019-01-23 9:08,35.51,3120000000000.0,57,Urban
58,Port Samanthamouth,2019-02-03 7:07,18.03,9290000000000.0,57,Urban
59,Port Samanthamouth,2019-04-22 3:32,29.67,3150000000000.0,57,Urban
60,Port Samanthamouth,2019-04-25 9:50,25.5,1170000000000.0,57,Urban
61,Port Samanthamouth,2019-03-01 8:58,43.25,1390000000000.0,57,Urban
62,Port Samanthamouth,2019-04-27 8:48,12.84,5660000000000.0,57,Urban
63,Port Samanthamouth,2019-03-27 0:31,16.05,1410000000000.0,57,Urban
64,Port Samanthamouth,2019-03-27 1:08,21.46,9990000000000.0,57,Urban
65,Port Samanthamouth,2019-03-15 15:08,25.97,7730000000000.0,57,Urban
66,Port Samanthamouth,2019-01-30 1:19,38.78,6120000000000.0,57,Urban
67,Port Samanthamouth,2019-04-06 13:42,24.18,8480000000000.0,57,Urban
68,Port Samanthamouth,2019-03-25 13:20,34.94,822000000000.0,57,Urban
69,Port Samanthamouth,2019-01-27 0:57,28.46,883000000000.0,57,Urban
70,Port Samanthamouth,2019-02-28 20:01,38.42,2110000000000.0,57,Urban
71,Port Samanthamouth,2019-04-18 14:39,23.56,8730000000000.0,57,Urban
72,Port Samanthamouth,2019-01-28 23:59,15.49,3270000000000.0,57,Urban
73,Port Samanthamouth,2019-01-19 19:54,38.58,2630000000000.0,57,Urban
